Experiment, Sample, Type,  Number of Nodes, Best Know Solution, Random route Solution, QBSolv classic, QBSolv classic full TSP, QBsolv Quantum, QBSolv Quantum full TSP, QB classic time, QB Quantum time (general), QB Quantum Time (QPU), Problems
1,burma14,TSP,14,3323,6672.153846153846,3239,3637,3395,3793,4.726599216461182,383.6321096420288,8.15,500
2,bayg29,TSP,29,1610,4736.642857142858,2336,2481,2386,2531,9.546760320663452,1393.732838153839,17.19,1085
3,ulysses22,TSP,22,7013,14809.61904761905,6825,7027,6543,6745,7.298629522323608,675.0512609481812,14.43,1013
4,burma14,TSP,14,3323,6672.153846153846,3430,3828,3100,3498,6.79800820350647,355.99999952316284,6.12,384
5,burma14,TSP,14,3323,6672.153846153846,3218,3616,3132,3530,5.779274940490723,248.72882461547852,5.11,321
6,burma14,TSP,14,3323,6672.153846153846,3344,3742,3535,3933,6.313198089599609,324.9508852958679,6.31,396
7,burma14,TSP,14,3323,6672.153846153846,3618,4016,3324,3722,6.805203914642334,307.8501355648041,6.26,420
8,burma14,TSP,14,3323,6672.153846153846,3282,3680,3327,3725,7.0638933181762695,305.02462935447693,6.26,393
9,burma14,TSP,14,3323,6672.153846153846,3110,3508,3155,3553,6.273005723953247,393.3405520915985,6.16,387
10,burma14,TSP,14,3323,6672.153846153846,3178,3576,3452,3850,5.865988731384277,326.8507299423218,5.55,348
11,burma14,TSP,14,3323,6672.153846153846,3564,3962,3334,3732,5.821437835693359,376.90070104599,5.06,339
12,burma14,TSP,14,3323,6672.153846153846,3482,3880,3367,3765,6.565480470657349,270.92786264419556,4.64,311
13,burma14,TSP,14,3323,6672.153846153846,3384,3782,3117,3515,7.319728374481201,423.92771434783936,8.84,582
14,burma14,TSP,14,3323,6672.153846153846,3472,3870,3448,3846,5.9957594871521,287.30072927474976,4.97,312
15,burma14,TSP,14,3323,6672.153846153846,3300,3698,3417,3815,6.659844636917114,226.0119504928589,4.59,288
16,burma14,TSP,14,3323,6672.153846153846,3351,3749,3366,3764,6.162923812866211,254.10747909545898,4.73,297
17,burma14,TSP,14,3323,6672.153846153846,3451,3849,3303,3701,6.454769611358643,424.7318181991577,8.61,540
18,gr21,TSP,21,2707,7641.6,3701,4081,3325,3705,8.103371620178223,795.1316187381744,7.86,915
